Organizações CPF/CNPJ,Organizações Razão Social CNPJ,Pedidos de Vendas Data/Hora Criação,Pedidos de Vendas Data/Hora Modificação,Pedidos de Vendas Fornecedor/Provedor,Pedidos de Vendas Produto
00.000.000/0001-12,RAZAO SOCIAL – 3,16-06-2023 08:16:52,19-06-2023 15:56:26,Net-A,Conexão Online
00.000.000/0001-14,RAZAO SOCIAL – 5,16-06-2023 10:05:44,29-06-2023 14:20:22,Net-A,Conexão Online
11.000.000/0001-21,RAZAO SOCIAL – 100,16-06-2023 10:11:36,28-06-2023 10:27:25,Net-A,Conexão Online
11.000.000/0001-22,RAZAO SOCIAL – 101,16-06-2023 10:20:56,29-06-2023 09:55:42,Net-A,Conexão Online
11.000.000/0001-23,RAZAO SOCIAL – 102,16-06-2023 10:52:45,29-06-2023 11:24:02,Net-A,Conexão Online
11.000.000/0001-24,RAZAO SOCIAL – 103,16-06-2023 11:14:40,23-06-2023 15:38:49,Net-A,Conexão Online
11.000.000/0001-25,RAZAO SOCIAL – 104,16-06-2023 11:50:05,07-08-2023 12:00:21,Net-A,Conexão Online
11.000.000/0001-26,RAZAO SOCIAL – 105,16-06-2023 11:59:14,21-08-2023 13:21:34,Net-A,Conexão Online
11.000.000/0001-27,RAZAO SOCIAL – 106,16-06-2023 14:21:55,12-09-2023 01:00:12,Net-A,Conexão Online
11.000.000/0001-28,RAZAO SOCIAL – 107,16-06-2023 14:52:24,29-06-2023 16:36:50,Net-A,Conexão Online
11.000.000/0001-29,RAZAO SOCIAL – 108,16-06-2023 15:02:15,30-06-2023 08:20:59,Net-A,Conexão Online
